schema,nome_tabela,qtd_colunas,nome_colunas,dominio,texto
b_cge_sci,cdatb0003,15,"{'flgativo','lastsuccessfulllogin','matricula','passwordhash','iduser','flgbloqueado','descricaobloqueio','datafinalbloqueio','datainiciobloqueio','flgrespondepergunta','datahoraultimaperguntaatribuida','suspensaodatainicial','suspensaodatafinal','orig','dtca'}",normas
b_cge_sci,cdatb0010,11,"{'idsubsistema','descsubsistema','flagstatus','version','deleted','descsubsistemaos','ordemsubsistemaos','perguntanecessitafiltro','exibecadastropergunta','orig','dtca'}",normas
b_cge_sci,cdatb0012,8,"{'idpontocontrole','descpontocontrole','flagstatus','version','idsubsistema','deleted','orig','dtca'}",normas
b_cge_sci,cdatb0040,13,"{'idorgaosci','cdexercicio','cdorgao','dataatualizacao','descorgao','descresorgao','flagativo','version','idorgao','flagnucleo','deleted','orig','dtca'}",entidade
b_cge_sci,cdatb0045,15,"{'idunidadegestorasci','cdexercicio','cdunidadegestora','descsigla','descunidadegestora','flagativo','version','idunidadeorcamentaria','idunidadegestora','flagnucleo','datainclusao','deleted','exibecadastropergunta','orig','dtca'}",entidade
b_cge_sci,cdatb0046,13,"{'idunidadeorcamentariasci','cdexercicio','cdunidadeorcamentaria','descsigla','descunidadeorcamentaria','flagativo','version','idorgao','idunidadeorcamentaria','flagnucleo','deleted','orig','dtca'}",entidade
b_cge_sci,cdatb0104,5,"{'idfase','descfase','version','orig','dtca'}",normas
b_cge_sci,cdatb0105,6,"{'idsituacao','descsituacao','version','nomesituacao','orig','dtca'}",normas
b_cge_sci,cdatb0106,32,"{'idpergunta','descpergunta','email','nome','rascunho','resposta','telefone','version','idfase','idorgaosci','idpontocontrole','iduserresponsavelresposta','idsituacao','idsubsistema','esferaatuacao','idunidadegestorasci','datacadastro','dataprazoresposta','dataresposta','justificativadevolucao','justificativadevoluvao','justificativaavocar','justificativaredistribuicao','justsolicitacaoredistribuicao','qtdediasprazocaracterconplexo','statuspergunta','necessitafiltrosecadjunto','arquivoorientacaotecnica','perguntafrequente','idusersecadjuntoresponsavelresposta','orig','dtca'}",normas
b_cge_sci,cdatb0108,11,"{'idsubsistema','descsubsistema','flagstatus','version','deleted','descsubsistemaos','ordemsubsistemaos','perguntanecessitafiltro','exibecadastropergunta','orig','dtca'}",normas
b_cge_sci,cdatb0109,8,"{'idsugestao','datahorasugestao','descsugestao','version','idpergunta','iduser','orig','dtca'}",normas
b_cge_sci,cdatb106,32,"{'idpergunta','descpergunta','email','nome','rascunho','resposta','telefone','version','idfase','idorgaosci','idpontocontrole','iduserresponsavelresposta','idsituacao','idsubsistema','esferaatuacao','idunidadegestorasci','datacadastro','dataprazoresposta','dataresposta','justificativadevolucao','justificativadevoluvao','justificativaavocar','justificativaredistribuicao','justsolicitacaoredistribuicao','qtdediasprazocaracterconplexo','statuspergunta','necessitafiltrosecadjunto','arquivoorientacaotecnica','perguntafrequente','idusersecadjuntoresponsavelresposta','orig','dtca'}",normas
b_cge_sci,criterio,8,"{'idcriterio','descricao','situacao','version','idusuarioinclusao','detalhe','orig','dtca'}",normas
b_cge_sci,criterio_inaplicacao,8,"{'idcriterio','descricao','situacao','version','idusuarioinclusao','detalhe','orig','dtca'}",normas
b_cge_sci,inaplicacao_avaliacao,11,"{'idinaplicacaoavaliacao','posicionamento','situacao','version','dataavaliacao','situacaoinaplicacaoanterior','situacaoinaplicacaoatual','idprovidencia','idusuarioinclusao','orig','dtca'}",normas
b_cge_sci,inaplicacao_avaliacao_criterio,8,"{'idinaplicacaoavaliacaocriterio','situacao','version','idcriterio','idinaplicacaoavaliacao','idusuarioinclusao','orig','dtca'}",normas
b_cge_sci,produto_auditoria_monitoramento,17,"{'idprodutoauditoriamonitoramento','outraorigem','dataciencia','idprodutoauditoria','situacao','version','idusuarioinclusao','numeroprotocolo','situacaoprodutoauditoriamonitoramento','idunidadeorcamentariasci','equiperesponsavel','descassuntocapa','numeroproduto','cdexercicio','idtipoprodutoauditoria','orig','dtca'}",normas
